lot_number,product_id,produced_qty,production_date,expiry_date
C5224,FJCR003,3195,2025-10-22,2028-10-22
C5224,FJCR003,116,2025-10-23,2028-10-23
S5174,FJCR003,1050,2025-10-23,2028-10-23
C5174,FJCR003,525,2025-11-06,2028-11-06
C5027,FJCR004,420,2025-04-07,2028-04-07
C5151,FJCR004,3353,2025-06-24,2028-06-24
C5027,FJCR004,735,2025-07-08,2028-07-08
C5151,FJCR004,2425,2025-10-20,2028-10-20
C5151,FJCR004,210,2025-11-06,2028-11-06
C5090,FJCR005,0,2025-04-04,2028-04-04
C5090,FJCR005,2160,2025-04-10,2028-04-10
C5090,FJCR005,1080,2025-04-11,2028-04-11
C5090,FJCR005,3240,2025-04-15,2028-04-15
C5090,FJCR005,1766,2025-04-16,2028-04-16
C5090,FJCR005,240,2025-07-01,2028-07-01
C5090,FJCR005,660,2025-07-02,2028-07-02
C5195,FJCR005,3900,2025-08-21,2028-08-21
C5090,FJCR005,300,2025-08-28,2028-08-28
C5195,FJCR005,180,2025-10-01,2028-10-01
C5090,FJCR005,1020,2025-10-02,2028-10-02
C5195,FJCR005,720,2025-10-28,2028-10-28
C5195,FJCR005,720,2025-11-13,2028-11-13
C5098,FJCR006,540,2025-04-15,2028-04-15
C5098,FJCR006,720,2025-05-02,2028-05-02
C5098,FJCR006,360,2025-05-20,2028-05-20
C5098,FJCR006,1170,2025-05-21,2028-05-21
C5136,FJCR006,2520,2025-05-27,2028-05-27
C5136,FJCR006,1465,2025-05-28,2028-05-28
C5136,FJCR006,1260,2025-06-02,2028-06-02
C5136,FJCR006,1350,2025-07-01,2028-07-01
C5173,FJCR006,2790,2025-08-08,2028-08-08
C5173,FJCR006,2685,2025-08-11,2028-08-11
C5173,FJCR006,180,2025-08-28,2028-08-28
C5225,FJCR006,1437,2025-10-24,2028-10-24
C5173,FJCR006,180,2025-11-06,2028-11-06
C5246,FJCR006,1080,2025-11-25,2028-11-25
C5246,FJCR006,3780,2025-11-26,2028-11-26
C5246,FJCR006,0,2025-11-27,2028-11-27
C5246,FJCR006,3780,2025-11-28,2028-11-28
C5246,FJCR006,4590,2025-11-27,2028-11-27
C5246,FJCR006,2258,2025-12-04,2028-12-04
C5113,FJCR007,4741,2025-05-29,2028-05-29
C5113,FJCR007,5360,2025-05-30,2028-05-30
C5113,FJCR007,4410,2025-08-11,2028-08-11
C5113,FJCR007,1260,2025-08-27,2028-08-27
C5082,FJCR008,3120,2025-04-03,2028-04-03
C5082,FJCR008,0,2025-04-03,2028-04-03
C5088,FJCR008,631,2025-04-04,2028-04-04
C5082,FJCR008,1931,2025-04-08,2028-04-08
C5082,FJCR008,180,2025-05-14,2028-05-14
C5082,FJCR008,180,2025-07-03,2028-07-03
C5169,FJCR008,300,2025-07-28,2028-07-28
C5169,FJCR008,540,2025-08-07,2028-08-07
C5169,FJCR008,300,2025-08-28,2028-08-28
C5169,FJCR008,180,2025-09-30,2028-09-30
C5169,FJCR008,180,2025-10-22,2028-10-22
C5169,FJCR008,720,2025-11-05,2028-11-05
C4237,FJCR009,149,2025-03-25,2028-03-25
C5137,FJCR009,1549,2025-05-27,2028-05-27
C5137,FJCR009,780,2025-07-02,2028-07-02
C5176,FJCR009,5580,2025-07-29,2028-07-29
C5176,FJCR009,180,2025-08-07,2028-08-07
C5176,FJCR009,300,2025-08-28,2028-08-28
C5176,FJCR009,120,2025-09-30,2028-09-30
C5176,FJCR009,180,2025-10-22,2028-10-22
C5176,FJCR009,300,2025-11-05,2028-11-05
C5094,FJCRM02,5000,2025-04-10,2028-04-10
C5094,FJCRM02,3000,2025-04-14,2028-04-14
C5091,FJCRM03,11500,2025-04-14,2028-04-14
C5224,FJCRM03,2700,2025-10-22,2028-10-22
C5122,FJCRM08,7500,2025-05-14,2028-05-14
C5226,FJCRM08,7723,2025-10-24,2028-10-24
C5176,FJCRM09,8000,2025-07-28,2028-07-28
C5079,FJCRT02,2000,2025-03-20,2028-03-20
C5079,FJCRT02,2002,2025-03-21,2028-03-21
C5125,FJCRT02,710,2025-05-19,2028-05-19
C5089,FJCRT02,0,2025-04-14,2028-04-14
C5089,FJCRT02,4893,2025-04-16,2028-04-16
C5125,FJCRT02,3696,2025-05-16,2028-05-16
C5196,FJCRT02,3698,2025-08-22,2028-08-22
C5197,FJCRT02,2770,2025-08-22,2028-08-22
C5197,FJCRT02,5645,2025-08-25,2028-08-25
C5197,FJCRT02,3804,2025-08-26,2028-08-26
C5248,FJCRT02,1000,2025-11-28,2028-11-28
S5059,FJCW001,3240,2025-03-31,2028-03-31
S5131,FJCW001,3283,2025-07-24,2028-07-24
S5131,FJCW001,3283,2025-07-25,2028-07-25
S5131,FJCW001,80,2025-09-03,2028-09-03
S5131,FJCW001,80,2025-09-04,2028-09-04
S5131,FJCW001,60,2025-10-23,2028-10-23
S5131,FJCW001,70,2025-11-03,2028-11-03
C5050,FJEC001,858,2025-04-08,2028-04-08
C5133,FJEC001,840,2025-05-26,2028-05-26
C5133,FJEC001,0,2025-05-27,2028-05-27
C5133,FJEC001,2579,2025-05-27,2028-05-27
C5133,FJEC001,168,2025-07-01,2028-07-01
C5208,FJEC001,3816,2025-09-17,2028-09-17
C5208,FJEC001,672,2025-09-30,2028-09-30
C5078,FJEC006,336,2025-04-29,2028-04-29
C5078,FJEC006,840,2025-04-30,2028-04-30
C5102,FJEC006,732,2025-05-16,2028-05-16
C5102,FJEC006,3864,2025-05-19,2028-05-19
C5102,FJEC006,4224,2025-05-20,2028-05-20
C5102,FJEC006,804,2025-05-21,2028-05-21
C5102,FJEC006,504,2025-07-03,2028-07-03
C5102,FJEC006,672,2025-07-08,2028-07-08
C5102,FJEC006,3696,2025-08-13,2028-08-13
C5102,FJEC006,672,2025-08-14,2028-08-14
C5102,FJEC006,4800,2025-08-28,2028-08-28
C5188,FJEC006,481,2025-08-29,2028-08-29
C5188,FJEC006,504,2025-10-01,2028-10-01
C5188,FJEC006,672,2025-10-27,2028-10-27
C5231,FJEC006,2688,2025-10-31,2028-10-31
C5231,FJEC006,2063,2025-11-03,2028-11-03
E5023,FJES001,286,2025-06-13,2028-06-13
E4029,FJES001,504,2025-06-02,2028-06-02
E5023,FJES001,336,2025-06-19,2028-06-19
E5023,FJES001,336,2025-06-26,2028-06-26
E5023,FJES001,1372,2025-06-24,2028-06-24
E5023,FJES001,630,2025-06-27,2028-06-27
E5032,FJES001,2016,2025-08-20,2028-08-20
E5032,FJES001,1316,2025-08-21,2028-08-21
E5048,FJES001,1680,2025-11-20,2028-11-20
E5048,FJES001,1538,2025-11-21,2028-11-21
E5048,FJES001,168,2025-11-24,2028-11-24
E5007,FJEX001,99,2025-08-08,2028-08-08
E5007,FJEX001,96,2025-10-16,2028-10-16
E4013,FJEX002,96,2025-04-04,2028-04-04
E4013,FJEX002,84,2025-05-14,2028-05-14
E4013,FJEX002,84,2025-10-27,2028-10-27
E3023,FJEX003,84,2025-05-14,2028-05-14
C5084,FJFC002,5642,2025-03-25,2028-03-25
C5083,FJFC002,5500,2025-03-26,2028-03-26
C5084,FJFC002,5996,2025-03-31,2028-03-31
C5099,FJFC002,5500,2025-04-21,2028-04-21
C5103,FJFC002,5500,2025-04-21,2028-04-21
C5104,FJFC002,5450,2025-04-22,2028-04-22
C5100,FJFC002,5530,2025-04-22,2028-04-22
C5109,FJFC002,5500,2025-04-23,2028-04-23
C5110,FJFC002,5760,2025-04-23,2028-04-23
C5112,FJFC002,0,2025-05-02,2028-05-02
C5118,FJFC002,1134,2025-05-09,2028-05-09
C5118,FJFC002,4320,2025-05-12,2028-05-12
C5119,FJFC002,1007,2025-05-14,2028-05-14
C5119,FJFC002,4536,2025-05-13,2028-05-13
C5120,FJFC002,5594,2025-05-14,2028-05-14
C5121,FJFC002,5521,2025-05-15,2028-05-15
C5124,FJFC002,2268,2025-05-15,2028-05-15
C5124,FJFC002,3515,2025-05-16,2028-05-16
C5124,FJFC002,1188,2025-05-16,2028-05-16
C5142,FJFC002,5670,2025-06-10,2028-06-10
C5143,FJFC002,5801,2025-06-11,2028-06-11
C5143,FJFC002,1890,2025-06-10,2028-06-10
C5144,FJFC002,5509,2025-06-12,2028-06-12
C5145,FJFC002,5581,2025-06-12,2028-06-12
C5142,FJFC002,1188,2025-07-07,2028-07-07
C5162,FJFC002,5485,2025-07-22,2028-07-22
C5163,FJFC002,5569,2025-07-23,2028-07-23
C5184,FJFC002,2646,2025-08-14,2028-08-14
C5112,FJFC002,864,2025-08-11,2028-08-11
C5184,FJFC002,2430,2025-08-18,2028-08-18
C5184,FJFC002,408,2025-08-19,2028-08-19
C5185,FJFC002,5916,2025-08-19,2028-08-19
C5203,FJFC002,5292,2025-09-03,2028-09-03
C5203,FJFC002,2646,2025-09-04,2028-09-04
C5204,FJFC002,324,2025-09-04,2028-09-04
C5204,FJFC002,3244,2025-09-05,2028-09-05
C5184,FJFC002,378,2025-10-23,2028-10-23
C5184,FJFC002,1350,2025-11-12,2028-11-12
C5219,FJFC002,1620,2025-12-12,2028-12-12
C5249,FJFC002,3779,2025-12-15,2028-12-15
C5252,FJFC002,2268,2025-12-17,2028-12-17
C5250,FJFC002,2592,2025-12-15,2028-12-15
C5250,FJFC002,2588,2025-12-16,2028-12-16
C5252,FJFC002,1981,2025-12-18,2028-12-18
C5086,FJFC003,329,2025-05-27,2028-05-27
C5148,FJFC003,564,2025-06-24,2028-06-24
C5148,FJFC003,3583,2025-06-25,2028-06-25
C5148,FJFC003,1034,2025-07-02,2028-07-02
C5148,FJFC003,188,2025-07-10,2028-07-10
C5148,FJFC003,564,2025-07-11,2028-07-11
C5170,FJFC003,3666,2025-07-21,2028-07-21
C5170,FJFC003,235,2025-08-07,2028-08-07
C5170,FJFC003,611,2025-08-13,2028-08-13
C5201,FJFC003,2159,2025-09-02,2028-09-02
C5170,FJFC003,2021,2025-10-22,2028-10-22
C5201,FJFC003,282,2025-11-03,2028-11-03
C5201,FJFC003,1001,2025-11-04,2028-11-04
C5086,FJFC004,3096,2025-04-02,2028-04-02
C5149,FJFC004,47,2025-06-19,2028-06-19
C5087,FJFC004,235,2025-05-19,2028-05-19
C5149,FJFC004,47,2025-06-19,2028-06-19
C5149,FJFC004,752,2025-06-23,2028-06-23
C5149,FJFC004,2423,2025-06-24,2028-06-24
C5087,FJFC004,611,2025-07-02,2028-07-02
C5087,FJFC004,658,2025-07-07,2028-07-07
C5171,FJFC004,1504,2025-08-04,2028-08-04
C5171,FJFC004,1450,2025-08-05,2028-08-05
C5149,FJFC004,141,2025-08-06,2028-08-06
C5170,FJFC004,72,2025-08-13,2028-08-13
C5202,FJFC004,3149,2025-09-01,2028-09-01
C5171,FJFC004,329,2025-10-15,2028-10-15
C5202,FJFC004,141,2025-10-23,2028-10-23
C5171,FJFC004,141,2025-11-12,2028-11-12
C5138,FJFC005,188,2025-05-30,2028-05-30
C4225,FJFC005,1316,2025-05-14,2028-05-14
C5138,FJFC005,799,2025-06-02,2028-06-02
C5138,FJFC005,3100,2025-06-04,2028-06-04
C4224/5,FJFC005,705,2025-07-07,2028-07-07
C5138,FJFC005,141,2025-10-23,2028-10-23
C5239,FJFC005,705,2025-12-09,2028-12-09
C5239,FJFC005,705,2025-12-09,2028-12-09
C5233,FJFC005,2398,2025-12-10,2028-12-10
C4118,FJFCPN2,102,2025-05-14,2028-05-14
C4118,FJFCPN2,0,2025-10-13,2028-10-13
C4118,FJFCPN2,102,2025-11-13,2028-11-13
C5135,FJGB001,3005,2025-05-28,2028-05-28
C5135,FJGB001,1008,2025-11-06,2028-11-06
C5232,FJGB001,3252,2025-12-01,2028-12-01
C5135,FJGB001,756,2025-12-10,2028-12-10
C5232,FJGB001,2520,2025-12-11,2028-12-11
C5232,FJGB001,720,2025-12-12,2028-12-12
E5010,FJLM001,3432,2025-03-20,2028-03-20
E5010,FJLM001,1935,2025-03-21,2028-03-21
E5009,FJLM001,572,2025-05-12,2028-05-12
E5010,FJLM001,429,2025-05-30,2028-05-30
E8010,FJLM001,715,2025-06-02,2028-06-02
E5010,FJLM001,572,2025-07-01,2028-07-01
E5010,FJLM001,858,2025-07-08,2028-07-08
E5010,FJLM001,572,2025-08-28,2028-08-28
E5036,FJLM001,1144,2025-10-01,2028-10-01
E5036,FJLM001,1430,2025-10-02,2028-10-02
E5036,FJLM001,572,2025-11-12,2028-11-12
E5014,FJLM002,1260,2025-03-27,2028-03-27
E5014,FJLM002,3116,2025-04-02,2028-04-02
E5012,FJLM002,572,2025-04-03,2028-04-03
E5025,FJLM002,2002,2025-06-20,2028-06-20
E5025,FJLM002,1144,2025-06-30,2028-06-30
E5025,FJLM002,572,2025-08-07,2028-08-07
E5025,FJLM002,572,2025-09-04,2028-09-04
E5037,FJLM002,2574,2025-10-02,2028-10-02
E5037,FJLM002,3970,2025-10-13,2028-10-13
E5037,FJLM002,858,2025-11-12,2028-11-12
E4021,FJLO001,546,2025-05-30,2028-05-30
E4021,FJLO001,364,2025-06-02,2028-06-02
E4021,FJLO001,364,2025-07-03,2028-07-03
E5021,FJLO001,455,2025-08-14,2028-08-14
E5031,FJLO001,819,2025-08-28,2028-08-28
E5031,FJLO001,2328,2025-08-29,2028-08-29
E5031,FJLO001,119,2025-08-12,2028-08-12
E5013,FJLO001,1462,2025-08-13,2028-08-13
E5031,FJLO001,819,2025-09-01,2028-09-01
E5012,FJLO001,546,2025-09-30,2028-09-30
E5012,FJLO001,819,2025-10-01,2028-10-01
C5049,FJMK003,308,2025-07-01,2028-07-01
C5049,FJMK003,462,2025-09-04,2028-09-04
C5242,FJMK003,910,2025-11-20,2028-11-20
C5247,FJMK003,1771,2025-12-10,2028-12-10
C5242,FJMK003,3614,2025-12-11,2028-12-11
C4071,FJMK004,77,2025-04-04,2028-04-04
C5152,FJMK004,204,2025-06-27,2028-06-27
C5152,FJMK004,4304,2025-06-30,2028-06-30
C4071,FJMK004,308,2025-07-01,2028-07-01
C5152,FJMK004,676,2025-09-04,2028-09-04
C5152,FJMK004,77,2025-10-23,2028-10-23
C5132,FJMK005,2387,2025-05-28,2028-05-28
C5132,FJMK005,517,2025-05-29,2028-05-29
C4196,FJMK005,231,2025-07-04,2028-07-04
C5156,FJMK005,231,2025-07-18,2028-07-18
C5156,FJMK005,1848,2025-07-24,2028-07-24
C5156,FJMK005,2510,2025-07-25,2028-07-25
C5156,FJMK005,231,2025-08-08,2028-08-08
C5156,FJMK005,385,2025-08-13,2028-08-13
C5156,FJMK005,154,2025-09-04,2028-09-04
C5220,FJMK005,3955,2025-10-14,2028-10-14
C5220,FJMK005,385,2025-10-23,2028-10-23
C4070,FJMK006,462,2025-04-04,2028-04-04
C5129,FJMK006,5001,2025-05-21,2028-05-21
C5129,FJMK006,539,2025-07-01,2028-07-01
C5192,FJMK006,5324,2025-08-27,2028-08-27
C5253,FJMK006,1553,2025-12-22,2028-12-22
C5081,FJMK007,4815,2025-03-25,2028-03-25
C3081,FJMK007,77,2025-06-11,2028-06-11
C3081,FJMK007,539,2025-06-12,2028-06-12
C5146,FJMK007,5151,2025-06-20,2028-06-20
C5117,FJMK008,4312,2025-05-08,2028-05-08
C5117,FJMK008,1646,2025-05-09,2028-05-09
C5117,FJMK008,308,2025-05-14,2028-05-14
C5117,FJMK008,2310,2025-05-15,2028-05-15
C5117,FJMK008,1078,2025-07-03,2028-07-03
C5166,FJMK008,1001,2025-07-14,2028-07-14
C5166,FJMK008,2560,2025-07-15,2028-07-15
C5117,FJMK008,231,2025-08-28,2028-08-28
C5117,FJMK008,385,2025-10-01,2028-10-01
C5117,FJMK008,154,2025-10-28,2028-10-28
YA001,FJMK5T1,816,2025-04-07,2028-04-07
YA001,FJMK5T1,432,2025-04-07,2028-04-07
YA001,FJMK5T1,432,2025-07-01,2028-07-01
YA001,FJMK5T1,96,2025-07-08,2028-07-08
YA001,FJMK5T1,480,2025-07-18,2028-07-18
YA001,FJMK5T1,480,2025-09-04,2028-09-04
YA001,FJMK5T1,480,2025-09-04,2028-09-04
S5076,FJMT001,5271,2025-04-29,2028-04-29
S5076,FJMT001,350,2025-07-01,2028-07-01
S5076,FJMT001,60,2025-08-07,2028-08-07
S5076,FJMT001,180,2025-08-28,2028-08-28
S5076,FJMT001,120,2025-09-30,2028-09-30
S5076,FJMT001,180,2025-10-28,2028-10-28
S4087,FJMT002,120,2025-05-14,2028-05-14
S4087,FJMT002,180,2025-07-01,2028-07-01
S4087,FJMT002,104,2025-08-06,2028-08-06
S4087,FJMT002,120,2025-08-06,2028-08-06
S4087,FJMT002,104,2025-08-27,2028-08-27
S4087,FJMT002,140,2025-08-28,2028-08-28
B5044,FJOF001,212,2025-05-14,2028-05-14
B5044,FJOF001,360,2025-06-05,2028-06-05
B5044,FJOF001,360,2025-07-01,2028-07-01
B5044,FJOF001,720,2025-08-05,2028-08-05
B5044,FJOF001,120,2025-08-06,2028-08-06
B5199,FJOF001,540,2025-08-29,2028-08-29
B5044,FJOF001,540,2025-08-28,2028-08-28
B5199,FJOF001,1531,2025-09-03,2028-09-03
B5199,FJOF001,291,2025-09-30,2028-09-30
B5199,FJOF001,300,2025-09-30,2028-09-30
B5199,FJOF001,60,2025-10-27,2028-10-27
B5249,FJOF001,2520,2025-12-11,2028-12-11
B5045,FJOF002,120,2025-05-19,2028-05-19
B5045,FJOF002,180,2025-08-06,2028-08-06
B5045,FJOF002,572,2025-08-28,2028-08-28
B5045,FJOF002,240,2025-10-01,2028-10-01
B5043,FJOF002,180,2025-10-28,2028-10-28
S5095,FJPD001,1427,2025-05-30,2028-05-30
S5095,FJPD001,120,2025-08-07,2028-08-07
S5095,FJPD001,180,2025-09-04,2028-09-04
S5095,FJPD001,240,2025-09-30,2028-09-30
S5095,FJPD001,60,2025-11-12,2028-11-12
S5095,FJPD001,434,2025-12-22,2028-12-22
S5096,FJPDR01,228,2025-06-16,2028-06-16
S5118,FJPDR01,465,2025-07-14,2028-07-14
S5095,FJPDR01,50,2025-08-07,2028-08-07
S5118,FJPDR01,75,2025-08-27,2028-08-27
S5095,FJPDR01,200,2025-10-01,2028-10-01
S5227,FJPDR01,1225,2025-12-18,2028-12-18
C5088,FJPGM02,2970,2025-04-03,2028-04-03
C5088,FJPGM02,1728,2025-04-03,2028-04-03
C5088,FJPGM02,2238,2025-04-04,2028-04-04
C5088,FJPGM02,108,2025-05-08,2028-05-08
C5088,FJPGM02,540,2025-06-05,2028-06-05
C5147,FJPGM02,918,2025-06-11,2028-06-11
C5147,FJPGM02,2430,2025-06-13,2028-06-13
C5147,FJPGM02,3965,2025-06-16,2028-06-16
C5175,FJPGM02,6487,2025-07-24,2028-07-24
C5175,FJPGM02,810,2025-08-06,2028-08-06
C5205,FJPGM02,2646,2025-09-05,2028-09-05
C5175,FJPGM02,1188,2025-09-04,2028-09-04
C5205,FJPGM02,3186,2025-09-09,2028-09-09
C5205,FJPGM02,654,2025-09-10,2028-09-10
C5205,FJPGM02,486,2025-10-01,2028-10-01
C5205,FJPGM02,270,2025-10-27,2028-10-27
C5205,FJPGM02,1026,2025-11-13,2028-11-13
C5097,FJPK001,1163,2025-04-21,2028-04-21
C5097,FJPK001,140,2025-07-08,2028-07-08
C5097,FJPK001,70,2025-08-07,2028-08-07
C5097,FJPK001,140,2025-09-29,2028-09-29
C5097,FJPK001,70,2025-10-23,2028-10-23
C5097,FJPK001,420,2025-11-06,2028-11-06
B3370,FJPW000,0,2025-05-08,2028-05-08
B3370,FJPW000,800,2025-05-09,2028-05-09
B3370,FJPW000,700,2025-05-12,2028-05-12
B3370,FJPW000,150,2025-05-13,2028-05-13
B3370,FJPW000,1600,2025-05-13,2028-05-13
B3370,FJPW000,350,2025-06-02,2028-06-02
B3370,FJPW000,50,2025-06-04,2028-06-04
B4262,FJPW001,100,2025-10-23,2028-10-23
C5150,FJSC002,288,2025-06-13,2028-06-13
C5019,FJSC002,288,2025-05-12,2028-05-12
C5150,FJSC002,3168,2025-06-16,2028-06-16
C5150,FJSC002,3360,2025-06-17,2028-06-17
S5150,FJSC002,3003,2025-06-19,2028-06-19
C5150,FJSC002,270,2025-08-28,2028-08-28
D01Y001,FJSC003,320,2025-05-16,2028-05-16
D01Y001,FJSC003,880,2025-05-19,2028-05-19
F.3Y002,FJSC003,1520,2025-06-19,2028-06-19
F03Y002,FJSC003,160,2025-08-28,2028-08-28
S5063,FJSL001,1951,2025-04-02,2028-04-02
S5066,FJSL001,1950,2025-04-03,2028-04-03
S5063,FJSL001,1950,2025-04-02,2028-04-02
S5064,FJSL001,1950,2025-04-02,2028-04-02
S5065,FJSL001,1950,2025-04-02,2028-04-02
S5067,FJSL001,2019,2025-04-03,2028-04-03
S5074,FJSL001,1907,2025-04-18,2028-04-18
S5075,FJSL001,930,2025-04-21,2028-04-21
S5092,FJSL001,1320,2025-05-29,2028-05-29
S5081,FJSL001,1950,2025-05-12,2028-05-12
S5082,FJSL001,1290,2025-05-12,2028-05-12
S5082,FJSL001,660,2025-05-13,2028-05-13
S5083,FJSL001,900,2025-05-14,2028-05-14
S5083,FJSL001,1050,2025-05-15,2028-05-15
S5084,FJSL001,1950,2025-05-15,2028-05-15
S5085,FJSL001,1950,2025-05-20,2028-05-20
S5086,FJSL001,2135,2025-05-20,2028-05-20
S5089,FJSL001,1950,2025-05-28,2028-05-28
S5090,FJSL001,1950,2025-05-28,2028-05-28
S5091,FJSL001,1950,2025-05-28,2028-05-28
S5092,FJSL001,630,2025-05-28,2028-05-28
S5093,FJSL001,1950,2025-05-29,2028-05-29
S5094,FJSL001,1993,2025-05-29,2028-05-29
S5105,FJSL001,1950,2025-06-20,2028-06-20
S5106,FJSL001,1110,2025-06-20,2028-06-20
S5106,FJSL001,840,2025-06-23,2028-06-23
S5107,FJSL001,1973,2025-06-23,2028-06-23
S5115,FJSL001,1935,2025-07-02,2028-07-02
S5116,FJSL001,1935,2025-07-02,2028-07-02
S5119,FJSL001,1950,2025-07-11,2028-07-11
S5120,FJSL001,1950,2025-07-11,2028-07-11
S5122,FJSL001,1500,2025-07-11,2028-07-11
S5125,FJSL001,1844,2025-07-14,2028-07-14
S5106,FJSL001,660,2025-07-17,2028-07-17
S5106,FJSL001,420,2025-07-18,2028-07-18
S5136,FJSL001,1940,2025-08-04,2028-08-04
S5142,FJSL001,1940,2025-08-04,2028-08-04
S5145,FJSL001,1926,2025-08-12,2028-08-12
S5143,FJSL001,1260,2025-08-08,2028-08-08
S5143,FJSL001,680,2025-08-11,2028-08-11
S5144,FJSL001,1470,2025-08-11,2028-08-11
S5156,FJSL001,1950,2025-08-22,2028-08-22
S5157,FJSL001,1950,2025-08-22,2028-08-22
S5158,FJSL001,1710,2025-08-22,2028-08-22
S5162,FJSL001,1950,2025-09-01,2028-09-01
S5142,FJSL001,180,2025-08-28,2028-08-28
S5163,FJSL001,1200,2025-09-01,2028-09-01
S5163,FJSL001,750,2025-09-02,2028-09-02
S5164,FJSL001,1950,2025-09-02,2028-09-02
S5165,FJSL001,1950,2025-09-02,2028-09-02
S5158,FJSL001,453,2025-09-02,2028-09-02
S,FJSL001,3150,2025-10-14,2028-10-14
S5192,FJSL001,510,2025-10-17,2028-10-17
S5194,FJSL001,1950,2025-10-17,2028-10-17
S5194,FJSL001,1815,2025-10-17,2028-10-17
S5143,FJSL001,930,2025-11-10,2028-11-10
S5229,FJSL001,1950,2025-12-17,2028-12-17
S5230,FJSL001,1290,2025-12-17,2028-12-17
S5230,FJSL001,700,2025-12-18,2028-12-18
S5232,FJSL001,1904,2025-12-18,2028-12-18
S5056,FJSL002,2010,2025-03-26,2028-03-26
H5016,FJSL002,831,2025-03-24,2028-03-24
S5058,FJSL002,1994,2025-04-10,2028-04-10
S5057,FJSL002,1290,2025-04-30,2028-04-30
S5056,FJSL002,90,2025-06-02,2028-06-02
S5056,FJSL002,1080,2025-06-04,2028-06-04
S5099,FJSL002,2030,2025-06-13,2028-06-13
S5098,FJSL002,1260,2025-06-12,2028-06-12
S5098,FJSL002,690,2025-06-13,2028-06-13
S5099,FJSL002,1020,2025-07-02,2028-07-02
S5123,FJSL002,1950,2025-07-14,2028-07-14
S5124,FJSL002,1650,2025-07-14,2028-07-14
S5124,FJSL002,360,2025-07-15,2028-07-15
S5154,FJSL002,2100,2025-08-19,2028-08-19
S5155,FJSL002,1080,2025-08-19,2028-08-19
S5155,FJSL002,1161,2025-08-20,2028-08-20
S5166,FJSL002,1200,2025-09-02,2028-09-02
S5166,FJSL002,979,2025-09-03,2028-09-03
S5173,FJSL002,1710,2025-09-11,2028-09-11
S5173,FJSL002,340,2025-09-12,2028-09-12
S5174,FJSL002,2050,2025-09-12,2028-09-12
S5167,FJSL002,2060,2025-09-12,2028-09-12
S5155,FJSL002,960,2025-10-16,2028-10-16
S5127,FJSL002,1830,2025-12-08,2028-12-08
S5167,FJSL002,1950,2025-12-22,2028-12-22
S5068,FJSL003,5600,2025-04-04,2028-04-04
C5068,FJSL003,6600,2025-04-03,2028-04-03
S5068,FJSL003,1200,2025-04-03,2028-04-03
S5069,FJSL003,3691,2025-04-04,2028-04-04
S5069,FJSL003,100,2025-06-05,2028-06-05
S5068,FJSL003,450,2025-08-06,2028-08-06
S5068,FJSL003,450,2025-08-28,2028-08-28
S5068,FJSL003,50,2025-10-16,2028-10-16
S5052,FJSL004,1981,2025-03-24,2028-03-24
S5053,FJSL004,1981,2025-03-24,2028-03-24
S5077,FJSL004,1950,2025-04-30,2028-04-30
S5078,FJSL004,1995,2025-04-30,2028-04-30
S5077,FJSL004,750,2025-06-04,2028-06-04
S5134,FJSL004,2100,2025-07-25,2028-07-25
S5135,FJSL004,1686,2025-07-28,2028-07-28
S5135,FJSL004,750,2025-08-11,2028-08-11
S5170,FJSL004,1983,2025-09-11,2028-09-11
S5172,FJSL004,1984,2025-09-11,2028-09-11
S5135,FJSL004,1380,2025-10-15,2028-10-15
S4049,FJSL006,450,2025-04-04,2028-04-04
S5031,FJSL006,400,2025-05-02,2028-05-02
S5008,FJSL006,200,2025-06-05,2028-06-05
S5097,FJSL006,350,2025-06-17,2028-06-17
S5097,FJSL006,1369,2025-06-23,2028-06-23
S5097,FJSL006,750,2025-06-23,2028-06-23
S5153,FJSL006,2050,2025-08-18,2028-08-18
S5191,FJSL006,1934,2025-10-02,2028-10-02
S5152,FJSL006,100,2025-10-02,2028-10-02
S5191,FJSL006,3000,2025-10-16,2028-10-16
S5226,FJSL006,1800,2025-12-03,2028-12-03
S5222,FJSL006,451,2025-12-04,2028-12-04
S5226,FJSL006,1659,2025-12-05,2028-12-05
S5048,FJSL007,153,2025-03-25,2028-03-25
S5048,FJSL007,1441,2025-06-02,2028-06-02
S5048,FJSL007,896,2025-06-23,2028-06-23
S5126,FJSL007,999,2025-07-15,2028-07-15
S5159,FJSL007,3584,2025-08-25,2028-08-25
S5159,FJSL007,1835,2025-08-26,2028-08-26
S5126,FJSL007,64,2025-10-22,2028-10-22
S5159,FJSL007,864,2025-12-23,2028-12-23
S4216,FJSL008,225,2025-04-04,2028-04-04
S4216,FJSL008,360,2025-05-14,2028-05-14
S5087,FJSL008,4005,2025-05-26,2028-05-26
S5087,FJSL008,405,2025-05-27,2028-05-27
S5087,FJSL008,225,2025-10-02,2028-10-02
S5231,FJSL008,2050,2025-12-17,2028-12-17
C5108,FJSM001,1208,2025-05-09,2028-05-09
C5108,FJSM001,198,2025-06-05,2028-06-05
C5178,FJSM001,685,2025-07-29,2028-07-29
C5209,FJSM001,297,2025-09-11,2028-09-11
C5209,FJSM001,1881,2025-09-12,2028-09-12
C5209,FJSM001,4950,2025-09-29,2028-09-29
C5209,FJSM001,2725,2025-09-30,2028-09-30
C5178,FJSM001,163,2025-10-13,2028-10-13
C5209,FJSM001,198,2025-11-03,2028-11-03
E4043,FJWE001,45,2025-04-04,2028-04-04
