lot_number,product_id,produced_qty,production_date,expiry_date
M5147,AOBL000,685,2025-12-05,2028-12-05
M5163,AOBL000,144,2025-12-23,2028-12-23
M5161,AOBL000,680,2025-12-23,2028-12-23
M5162,AOBL000,680,2025-12-23,2028-12-23
M5163,AOBL000,680,2025-12-23,2028-12-23
M5110,AOBL002,540,2025-09-17,2028-09-17
M5122,AOBL003,746,2025-10-31,2028-10-31
M5063,AOBL004,710,2025-05-14,2028-05-14
M5077,AOBL004,747,2025-06-23,2028-06-23
M5086,AOBL004,680,2025-09-15,2028-09-15
M5087,AOBL004,680,2025-09-15,2028-09-15
M5087,AOBL004,42,2025-10-31,2028-10-31
M5120,AOBL004,480,2025-10-31,2028-10-31
M5120,AOBL004,685,2025-11-03,2028-11-03
M5121,AOBL004,686,2025-11-03,2028-11-03
M5143,AOBL004,680,2025-11-28,2028-11-28
M5144,AOBL004,680,2025-11-28,2028-11-28
M5160,AOBL005,677,2025-12-22,2028-12-22
M5052,AOBLM03,2120,2025-04-28,2028-04-28
C5216,AOFC001,1200,2025-10-28,2028-10-28
C5229,AOFC002,120,2025-11-06,2028-11-06
E5020,AOHE001,996,2025-05-20,2028-05-20
E5020,AOHE001,120,2025-10-01,2028-10-01
E5041,AOHE001,1076,2025-10-24,2028-10-24
E5041,AOHE001,70,2025-10-28,2028-10-28
E5013,AOHSR00,2260,2025-03-26,2028-03-26
E5017,AOHSR00,642,2025-04-21,2028-04-21
E5017,AOHSR00,3960,2025-04-30,2028-04-30
E5013,AOHSR00,792,2025-05-20,2028-05-20
E5027,AOHSR00,904,2025-06-20,2028-06-20
E5027,AOHSR00,755,2025-08-06,2028-08-06
E5033,AOHSR00,5389,2025-08-19,2028-08-19
E5033,AOHSR00,144,2025-10-01,2028-10-01
E5040,AOHSR00,2196,2025-10-27,2028-10-27
E5033,AOHSR00,72,2025-10-28,2028-10-28
E5050,AOHSR00,2117,2025-12-17,2028-12-17
H5032,AORS000,693,2025-05-15,2028-05-15
H5038,AORS000,694,2025-06-25,2028-06-25
H5042,AORS000,72,2025-07-03,2028-07-03
H5042,AORS000,616,2025-07-07,2028-07-07
H5067,AORS000,695,2025-09-17,2028-09-17
H5068,AORS000,696,2025-09-17,2028-09-17
H5078,AORS000,96,2025-10-27,2028-10-27
H5078,AORS000,372,2025-10-27,2028-10-27
H5078,AORS000,323,2025-10-28,2028-10-28
H5079,AORS000,695,2025-10-28,2028-10-28
H5078,AORS000,42,2025-11-11,2028-11-11
H5097,AORS000,480,2025-11-25,2028-11-25
H5098,AORS000,1390,2025-11-26,2028-11-26
H5069,AORS004,676,2025-09-22,2028-09-22
H5069,AORS004,42,2025-10-31,2028-10-31
H5084,AORS004,540,2025-11-03,2028-11-03
H5084,AORS004,210,2025-11-12,2028-11-12
H5104,AORS004,694,2025-12-12,2028-12-12
DF03,AOSG000,42,2025-10-31,2028-10-31
H5022,AOSP000,1320,2025-04-08,2028-04-08
B5023,AOSP000,1320,2025-04-08,2028-04-08
H5036,AOSP000,1316,2025-06-09,2028-06-09
H5037,AOSP000,1317,2025-06-09,2028-06-09
