Lot No,prdcode,QTY,DATE
C5096,FJCR002,6480,"Apr 14, 2025 12:00 AM"
C5091,FJCRM03,11500,"Apr 14, 2025 12:00 AM"
C5094,FJCR002,3521,"Apr 18, 2025 12:00 AM"
S5055,RMOP000,4480,"Apr 15, 2025 12:00 AM"
C5090,FJCR005,3240,"Apr 15, 2025 12:00 AM"
M5066,ADML000,1000,"May 22, 2025 12:00 AM"
C5098,FJCR006,540,"Apr 15, 2025 12:00 AM"
C5090,FJCR005,1766,"Apr 16, 2025 12:00 AM"
C5089,FJCRT02,4893,"Apr 16, 2025 12:00 AM"
S5055,RMOP000,553,"Apr 16, 2025 12:00 AM"
C5092,FJBB001,1728,"Apr 16, 2025 12:00 AM"
C5105,FJBF001,5042,"Apr 17, 2025 12:00 AM"
C5092,FJBB001,4032,"Apr 17, 2025 12:00 AM"
C5099,FJFC002,5500,"Apr 21, 2025 12:00 AM"
C5140,FJCR002,2620,"Jun 5, 2025 12:00 AM"
H5038,CCHP001,720,"Jun 11, 2025 12:00 AM"
C5103,FJFC002,5500,"Apr 21, 2025 12:00 AM"
S5075,FJSL001,930,"Apr 21, 2025 12:00 AM"
B5066,BTBO001,2267,"Apr 21, 2025 12:00 AM"
E5017,AOHSR00,642,"Apr 21, 2025 12:00 AM"
M5047,ADML000,1000,"Apr 23, 2025 12:00 AM"
C5104,FJFC002,5450,"Apr 22, 2025 12:00 AM"
C5100,FJFC002,5530,"Apr 22, 2025 12:00 AM"
M5052,AOBLM03,2120,"Apr 28, 2025 12:00 AM"
C5109,FJFC002,5500,"Apr 23, 2025 12:00 AM"
M5048,ADML000,1000,"Apr 23, 2025 12:00 AM"
M5049,ADML000,1000,"Apr 23, 2025 12:00 AM"
C5131,FJBB001,1632,"May 21, 2025 12:00 AM"
 C5150,FJSC002,288,"Jun 13, 2025 12:00 AM"
C5110,FJFC002,5760,"Apr 23, 2025 12:00 AM"
C5050,ADML000,1000,"Apr 23, 2025 12:00 AM"
C5051,ADML000,1089,"Apr 23, 2025 12:00 AM"
C5137,FJCR009,1549,"May 27, 2025 12:00 AM"
E5018,FJAP001,1122,"Apr 28, 2025 12:00 AM"
C5091,FJCR003,2993,"Apr 28, 2025 12:00 AM"
B5067,RABD2T1,112,"May 9, 2025 12:00 AM"
S5092,FJSL001,1320,"May 29, 2025 12:00 AM"
B5075,ILMT005,3000,"Apr 30, 2025 12:00 AM"
B5076,ILWS002,3000,"Apr 30, 2025 12:00 AM"
S5076,FJMT001,5271,"Apr 29, 2025 12:00 AM"
B5072,KBOW004,468,"Apr 29, 2025 12:00 AM"
B5070,KBOW001,180,"Apr 29, 2025 12:00 AM"
C5078,FJEC006,840,"Apr 30, 2025 12:00 AM"
C5114,FJCR002,6407,"Apr 30, 2025 12:00 AM"
S5078,FJSL004,1995,"Apr 30, 2025 12:00 AM"
C5115,FJCR002,13979,"May 2, 2025 12:00 AM"
S4034,RMSC003,190,"May 2, 2025 12:00 AM"
C5098,FJCR006,720,"May 2, 2025 12:00 AM"
B5084,AJBC002,744,"May 2, 2025 12:00 AM"
B5083,AJBC002,840,"May 2, 2025 12:00 AM"
M5054,AOBL000,680,"May 2, 2025 12:00 AM"
M5055,AOBL000,680,"May 2, 2025 12:00 AM"
M5056,AOBL000,680,"May 2, 2025 12:00 AM"
H5029,AJSP002,1320,"May 7, 2025 12:00 AM"
H5030,AJSP002,358,"May 7, 2025 12:00 AM"
B5078,BTBC004,1006,"May 7, 2025 12:00 AM"
C5117,FJMK008,4312,"May 8, 2025 12:00 AM"
H5026,CCCC001,2003,"May 9, 2025 12:00 AM"
B5080,BTBC005,970,"May 8, 2025 12:00 AM"
B5082,BTBC006,994,"May 8, 2025 12:00 AM"
C5117,FJMK008,1646,"May 9, 2025 12:00 AM"
B5116,RABD2T1,686,"Jun 25, 2025 12:00 AM"
C5108,FJSM001,1208,"May 9, 2025 12:00 AM"
C5118,FJFC002,1134,"May 9, 2025 12:00 AM"
C5118,FJFC002,4320,"May 12, 2025 12:00 AM"
B5086,NPBC006,72,"May 9, 2025 12:00 AM"
B5087,NPBC009,216,"May 9, 2025 12:00 AM"
M5063,AOBL004,710,"May 14, 2025 12:00 AM"
S5081,FJSL001,1950,"May 12, 2025 12:00 AM"
C5119,FJFC002,1007,"May 14, 2025 12:00 AM"
B5091,BTBC007,1012,"May 21, 2025 12:00 AM"
B5097,PDIR005,1692,"May 22, 2025 12:00 AM"
C5119,FJFC002,4536,"May 13, 2025 12:00 AM"
H5031,AOSP002,1172,"May 12, 2025 12:00 AM"
S5082,FJSL001,1290,"May 12, 2025 12:00 AM"
S5082,FJSL001,660,"May 13, 2025 12:00 AM"
C5125,FJCR002,3566,"May 14, 2025 12:00 AM"
S5080,MLDMB01,1010,"May 13, 2025 12:00 AM"
S5083,FJSL001,900,"May 14, 2025 12:00 AM"
S5079,RRBM004,1980,"May 13, 2025 12:00 AM"
S5083,FJSL001,1050,"May 15, 2025 12:00 AM"
C5120,FJFC002,5594,"May 14, 2025 12:00 AM"
C5122,FJCRM08,7500,"May 14, 2025 12:00 AM"
S5079,RRBM004,72,"May 14, 2025 12:00 AM"
B5044,FJOF001,212,"May 14, 2025 12:00 AM"
C5121,FJFC002,5521,"May 15, 2025 12:00 AM"
E5019,PDHS002,992,"May 15, 2025 12:00 AM"
C5124,FJFC002,2268,"May 15, 2025 12:00 AM"
B5093,AOWS000,281,"May 15, 2025 12:00 AM"
H5032,AORS000,693,"May 15, 2025 12:00 AM"
S5084,FJSL001,1950,"May 15, 2025 12:00 AM"
C5124,FJFC002,3515,"May 16, 2025 12:00 AM"
C5102,FJEC006,732,"May 16, 2025 12:00 AM"
C5125,FJCRT02,3696,"May 16, 2025 12:00 AM"
C5102,FJEC006,3864,"May 19, 2025 12:00 AM"
C5129,FJMK006,5001,"May 21, 2025 12:00 AM"
C5132,FJMK005,2387,"May 28, 2025 12:00 AM"
H5033,CCATR01,2011,"May 19, 2025 12:00 AM"
C5133,FJEC001,840,"May 26, 2025 12:00 AM"
C5102,FJEC006,4224,"May 20, 2025 12:00 AM"
S5085,FJSL001,1950,"May 20, 2025 12:00 AM"
S5086,FJSL001,2135,"May 20, 2025 12:00 AM"
E5020,AOHE001,996,"May 20, 2025 12:00 AM"
C5098,FJCR006,360,"May 20, 2025 12:00 AM"
C5098,FJCR006,1170,"May 21, 2025 12:00 AM"
C5102,FJEC006,804,"May 21, 2025 12:00 AM"
B5092,BTBC007,1012,"May 21, 2025 12:00 AM"
B5094,RMXX4T1,2448,"May 22, 2025 12:00 AM"
S5103,FJCO001,1579,"Jun 13, 2025 12:00 AM"
E5023,FJES001,286,"Jun 13, 2025 12:00 AM"
B5096,PDIR002,2063,"May 21, 2025 12:00 AM"
C5131,FJBB001,2129,"May 22, 2025 12:00 AM"
M5067,ADML000,1000,"May 22, 2025 12:00 AM"
M5068,ADML000,1000,"May 22, 2025 12:00 AM"
,FJCR006,279,"May 22, 2025 12:00 AM"
E5021,FJAP004,1440,"May 22, 2025 12:00 AM"
B5094,RMXX4T1,2901,"May 23, 2025 12:00 AM"
S5087,FJSL008,4005,"May 26, 2025 12:00 AM"
C5134,FJCR003,4200,"May 26, 2025 12:00 AM"
B5094,RMXX4T1,1392,"May 26, 2025 12:00 AM"
S5089,FJSL001,1950,"May 28, 2025 12:00 AM"
C5139,FJCR002,2580,"Jun 2, 2025 12:00 AM"
C5134,FJCR003,2754,"May 27, 2025 12:00 AM"
C5136,FJCR006,2520,"May 27, 2025 12:00 AM"
C5135,FJGB001,3005,"May 28, 2025 12:00 AM"
S5088,PDHM003,462,"May 27, 2025 12:00 AM"
C5133,FJEC001,2579,"May 27, 2025 12:00 AM"
C5136,FJCR006,1465,"May 28, 2025 12:00 AM"
S5090,FJSL001,1950,"May 28, 2025 12:00 AM"
S5091,FJSL001,1950,"May 28, 2025 12:00 AM"
H5034,CCAB001,1884,"May 28, 2025 12:00 AM"
S5095,FJPD001,1427,"May 30, 2025 12:00 AM"
C5123,CCCRM01,4018,"May 28, 2025 12:00 AM"
S5092,FJSL001,630,"May 28, 2025 12:00 AM"
C5132,FJMK005,517,"May 29, 2025 12:00 AM"
C5123,CCCRM01,996,"May 29, 2025 12:00 AM"
S5093,FJSL001,1950,"May 29, 2025 12:00 AM"
S5094,FJSL001,1993,"May 29, 2025 12:00 AM"
C5113,FJCR007,5360,"May 30, 2025 12:00 AM"
B5100,BTBC009,1000,"May 30, 2025 12:00 AM"
B5101,BTBC009,940,"May 30, 2025 12:00 AM"
C5138,FJFC005,799,"Jun 2, 2025 12:00 AM"
S5048,FJSL007,1441,"Jun 2, 2025 12:00 AM"
B5102,AOBC000,1303,"Jun 2, 2025 12:00 AM"
E5022,FJAP004,1752,"Jun 2, 2025 12:00 AM"
C5142,FJFC002,5670,"Jun 10, 2025 12:00 AM"
C5138,FJFC005,3100,"Jun 4, 2025 12:00 AM"
C5143,FJFC002,5801,"Jun 11, 2025 12:00 AM"
C5139,FJCR002,5420,"Jun 4, 2025 12:00 AM"
C5140,FJCR002,5380,"Jun 4, 2025 12:00 AM"
C5141,FJCR002,7944,"Jun 5, 2025 12:00 AM"
B5103,BTBCM05,9662,"Jun 5, 2025 12:00 AM"
H5036,AOSP000,1316,"Jun 9, 2025 12:00 AM"
H5037,AOSP000,1317,"Jun 9, 2025 12:00 AM"
B5098,BTBC010,962,"Jun 9, 2025 12:00 AM"
B5099,BTBC010,963,"Jun 9, 2025 12:00 AM"
S5096,MLDMB02,1010,"Jun 9, 2025 12:00 AM"
B5103,BTBC005,630,"Jun 9, 2025 12:00 AM"
C5143,FJFC002,1890,"Jun 10, 2025 12:00 AM"
B5107,AOBC000,364,"Jun 10, 2025 12:00 AM"
B5110,BTBO002,2390,"Jun 10, 2025 12:00 AM"
B5109,BTBO003,440,"Jun 10, 2025 12:00 AM"
C5144,FJFC002,5509,"Jun 12, 2025 12:00 AM"
B5105,BTBC006,756,"Jun 11, 2025 12:00 AM"
B5109,BTBO003,1359,"Jun 11, 2025 12:00 AM"
H5038,CCHP001,1249,"Jun 12, 2025 12:00 AM"
C5145,FJFC002,5581,"Jun 12, 2025 12:00 AM"
