Lot No,DATE
B5082,2025.4.25 0:00
B5082,2025.5.8 0:00
B5082,2025.5.8 0:00
B5083,2025.4.30 0:00
B5083,2025.4.29 0:00
B5083,2025.4.30 0:00
B5083,2025.5.2 0:00
B5083,2025.5.2 0:00
B5084,2025.4.28 0:00
B5084,2025.5.2 0:00
B5084,2025.5.2 0:00
B5085,2025.5.2 0:00
B5086,2025.5.7 0:00
B5086,2025.5.9 0:00
B5086,2025.5.9 0:00
B5086,2025.5.9 0:00
B5086,2025.10.23 0:00
B5087,2025.5.8 0:00
B5087,2025.5.9 0:00
B5087,2025.5.9 0:00
B5087,2025.5.9 0:00
B5087,2025.5.19 0:00
B5087,2025.10.22 0:00
B5088,2025.5.12 0:00
B5088,2025.5.13 0:00
B5088,2025.5.13 0:00
B5089,2025.5.12 0:00
B5089,2025.5.13 0:00
B5089,2025.5.13 0:00
B5089,2025.10.22 0:00
B5090,2025.5.12 0:00
B5091,2025.5.13 0:00
B5091,2025.5.21 0:00
B5091,2025.5.21 0:00
B5092,2025.5.13 0:00
B5092,2025.5.21 0:00
B5092,2025.5.21 0:00
B5093,2025.5.14 0:00
B5093,2025.5.15 0:00
B5093,2025.5.15 0:00
B5094,2025.5.15 0:00
B5094,2025.5.16 0:00
B5094,2025.5.22 0:00
B5094,2025.5.23 0:00
B5094,2025.5.26 0:00
B5095,2025.5.15 0:00
B5095,2025.5.16 0:00
B5095,2025.5.19 0:00
B5096,2025.5.19 0:00
B5096,2025.5.21 0:00
B5096,2025.5.21 0:00
B5096,2025.5.22 0:00
B5097,2025.5.21 0:00
B5097,2025.5.22 0:00
B5097,2025.5.22 0:00
B5098,2025.5.27 0:00
B5098,2025.6.9 0:00
B5098,2025.6.9 0:00
B5099,2025.5.27 0:00
B5099,2025.6.9 0:00
B5099,2025.6.9 0:00
B5100,2025.5.26 0:00
B5100,2025.5.30 0:00
B5100,2025.5.30 0:00
B5101,2025.5.26 0:00
B5101,2025.5.30 0:00
B5101,2025.5.30 0:00
B5102,2025.6.2 0:00
B5102,2025.5.29 0:00
B5102,2025.6.2 0:00
B5103,2025.6.2 0:00
B5103,2025.6.9 0:00
B5103,2025.6.5 0:00
B5103,2025.6.5 0:00
B5103,2025.6.9 0:00
B5103,2025.6.10 0:00
B5104,2025.6.2 0:00
B5104,2025.6.10 0:00
B5105,2025.6.4 0:00
B5105,2025.6.11 0:00
B5105,2025.6.11 0:00
B5106,2025.6.4 0:00
B5106,2025.6.12 0:00
B5106,2025.6.12 0:00
B5107,2025.6.5 0:00
B5107,2025.6.9 0:00
B5107,2025.6.10 0:00
B5107,2025.6.10 0:00
B5107,2025.10.1 0:00
B5108,2025.6.4 0:00
B5108,2025.7.1 0:00
B5109,2025.6.9 0:00
B5109,2025.6.10 0:00
B5109,2025.6.11 0:00
B5109,2025.6.10 0:00
B5109,2025.6.11 0:00
B5110,2025.6.10 0:00
B5110,2025.6.9 0:00
B5110,2025.6.10 0:00
B5111,2025.6.11 0:00
B5111,2025.6.16 0:00
B5111,2025.6.16 0:00
B5112,2025.6.11 0:00
B5113,2025.6.12 0:00
B5113,2025.6.16 0:00
B5113,2025.6.25 0:00
B5114,2025.6.13 0:00
B5114,2025.6.20 0:00
B5114,2025.6.20 0:00
B5115,2025.6.13 0:00
B5115,2025.6.19 0:00
B5115,2025.6.20 0:00
B5115,2025.6.20 0:00
B5116,2025.6.16 0:00
B5116,2025.6.19 0:00
B5116,2025.6.25 0:00
B5116,2025.6.27 0:00
B5117,2025.6.18 0:00
B5117,2025.6.26 0:00
B5117,2025.6.26 0:00
B5117,2025.10.1 0:00
B5117,2025.11.17 0:00
B5117,2025.11.17 0:00
B5118,2025.6.18 0:00
B5118,2025.6.19 0:00
B5118,2025.6.19 0:00
B5119,2025.6.19 0:00
B5119,2025.6.23 0:00
B5119,2025.6.23 0:00
B5119,2025.9.12 0:00
B5119,2025.9.15 0:00
B5119,2025.9.15 0:00
B5119,2025.9.12 0:00
B5120,2025.6.19 0:00
B5120,2025.6.25 0:00
B5120,2025.6.25 0:00
B5121,2025.6.20 0:00
B5121,2025.6.24 0:00
B5121,2025.6.27 0:00
B5122,2025.6.20 0:00
B5122,2025.6.26 0:00
B5122,2025.6.26 0:00
B5123,2025.6.23 0:00
B5123,2025.6.26 0:00
B5123,2025.6.26 0:00
B5124,2025.6.23 0:00
B5124,2025.7.4 0:00
B5124,2025.7.4 0:00
B5125,2025.6.23 0:00
B5126,2025.6.25 0:00
B5126,2025.6.30 0:00
B5126,2025.6.30 0:00
B5127,2025.6.26 0:00
B5127,2025.6.27 0:00
B5127,2025.6.27 0:00
B5128,2025.6.30 0:00
B5128,2025.7.4 0:00
B5128,2025.7.4 0:00
B5128,2025.7.4 0:00
B5129,2025.6.30 0:00
B5129,2025.7.4 0:00
B5129,2025.7.4 0:00
B5130,2025.7.3 0:00
B5130,2025.7.4 0:00
B5131,2025.7.3 0:00
B5131,2025.7.7 0:00
B5131,2025.7.7 0:00
B5132,2025.7.4 0:00
B5132,2025.7.7 0:00
B5132,2025.7.7 0:00
B5132,2025.10.15 0:00
B5132,2025.12.11 0:00
B5133,2025.7.7 0:00
B5133,2025.7.9 0:00
B5133,2025.7.8 0:00
B5133,2025.7.8 0:00
B5134,2025.7.3 0:00
B5134,2025.7.8 0:00
B5134,2025.7.8 0:00
B5135,2025.7.7 0:00
B5135,2025.7.15 0:00
B5136,2025.7.8 0:00
B5136,2025.7.15 0:00
B5136,2025.7.9 0:00
B5136,2025.7.9 0:00
B5137,2025.7.8 0:00
B5138,2025.7.8 0:00
B5138,2025.7.9 0:00
B5138,2025.7.10 0:00
B5138,2025.7.10 0:00
B5138,2025.7.11 0:00
B5139,2025.7.8 0:00
B5139,2025.7.10 0:00
B5139,2025.7.11 0:00
B5139,2025.7.14 0:00
B5140,2025.7.9 0:00
B5140,2025.7.10 0:00
B5140,2025.7.11 0:00
B5140,2025.7.11 0:00
B5141,2025.7.18 0:00
