lot_number,manufacturing_date
B5126,2025-06-25
B5126,2025-06-30
B5127,2025-06-26
B5127,2025-06-27
B5128,2025-06-30
B5128,2025-07-04
B5129,2025-06-30
B5129,2025-07-04
B5130,2025-07-03
B5130,2025-07-04
B5131,2025-07-03
B5131,2025-07-07
B5132,2025-07-04
B5132,2025-07-07
B5132,2025-10-15
B5132,2025-12-11
B5133,2025-07-07
B5133,2025-07-09
B5133,2025-07-08
B5134,2025-07-03
B5134,2025-07-08
B5135,2025-07-07
B5135,2025-07-15
B5136,2025-07-08
B5136,2025-07-15
B5136,2025-07-09
B5137,2025-07-08
B5138,2025-07-08
B5138,2025-07-09
B5138,2025-07-10
B5138,2025-07-11
B5139,2025-07-08
B5139,2025-07-10
B5139,2025-07-11
B5139,2025-07-14
B5140,2025-07-09
B5140,2025-07-10
B5140,2025-07-11
B5141,2025-07-18
B5141,2025-07-22
B5142,2025-07-18
B5142,2025-07-22
B5143,2025-07-15
B5143,2025-07-16
B5144,2025-07-15
B5144,2025-07-16
B5145,2025-07-16
B5145,2025-07-17
B5146,2025-07-16
B5146,2025-07-28
B5147,2025-07-17
B5147,2025-07-22
B5147,2025-08-06
B5148,2025-07-17
B5148,2025-07-23
B5148,2025-09-16
B5149,2025-07-21
B5149,2025-07-22
B5150,2025-07-21
B5150,2025-07-23
B5150,2025-07-25
B5150,2025-07-29
B5151,2025-07-22
B5151,2025-07-23
B5151,2025-07-24
B5152,2025-07-24
B5152,2025-07-29
B5152,2025-08-04
B5153,2025-07-25
B5153,2025-08-04
B5153,2025-08-05
B5154,2025-07-25
B5154,2025-08-04
B5155,2025-07-29
B5155,2025-08-05
B5156,2025-07-29
B5156,2025-08-05
B5157,2025-07-29
B5157,2025-08-04
B5157,2025-08-05
B5157,2025-11-12
B5158,2025-08-05
B5158,2025-08-08
B5159,2025-08-05
B5159,2025-08-08
B5159,2025-08-11
B5160,2025-08-04
B5160,2025-09-30
B5160,2025-11-06
B5160,2025-08-28
B5161,2025-08-07
B5161,2025-08-11
B5162,2025-08-08
B5162,2025-08-12
B5162,2025-09-30
B5162,2025-10-01
B5163,2025-08-11
B5163,2025-08-12
B5163,2025-08-13
B5164,2025-08-13
B5164,2025-08-14
B5164,2025-12-05
B5165,2025-08-13
B5165,2025-08-14
B5166,2025-08-19
B5166,2025-08-20
B5167,2025-08-22
B5167,2025-08-25
B5167,2025-08-28
B5168,2025-08-20
B5168,2025-08-26
B5169,2025-08-21
B5170,2025-08-21
B5171,2025-08-22
B5171,2025-08-27
B5171,2025-08-26
B5171/72,2025-08-26
B5172,2025-08-22
B5173,2025-08-25
